,document_id,clean_text,sentiment
0,doc_1,a pretty good movie not quite the masterpiece that some would have you believe its too derivative for that but its still worth a watch and theres no denying that joaquin phoenix delivers an excellent performance in the title role my main bone of contention with this film is that it really doesnt need to be tied up to the whole superhero genre setting up the rivalry with batman for at least half the running time its a better film than that and would have served better as a standalone psychological portrait of mental breakdown films this seems to have been inspired by include the mechanic the king of comedy and of course taxi driver,positive
1,doc_2,gotham is in dire difficulties like new york city back in the 70s arthur fleck joaquin phoenix is a mentally unstable clown he laughs uncontrollably in stressful times he gets beaten and robbed by a group of youths he gets fired from his job he lives with his unstable sick mom frances conroy who worked for thomas wayne and claims him to be her exlover and arthurs biological father when arthur is attacked by three drunken suits in the subway he shoots them dead thomas wayne is outraged by the killing of these three welleducated pillars of society and announces his campaign for the mayors office arthur has a relationship with his singlemom neighbor sophie dumond zazie beetz and admires talk show host murray franklin robert de nirothis is great character work from joaquin phoenix he is one of the great actors working today director todd phillips is pounding his chest a lot and deserves some praise i do have a couple of problems with his work the smaller problem is the continuous shooting of thomas wayne and martha wayne with her pearls that scene has been done so many times in the past three decades it may be better to simply suggest it with a clown walking into the alley with a gun dont show the shooting just do the sound of the shot and leave its all been done before and phillips should know this the bigger issue is setting up this world i think phillips expected that the audience knows this world as a given the streets have lots of garbage there are news reports phillips fails to spell it out especially if income inequality is such a big theme in the movie it needs a wall street protest or two at least there should be a protest in front of wayne tower the first clown protest against wayne seems to come out of nowhere the hatred of the rich needs some background overall this is a great new needed voice in the comic book superhero genre which presents ground to build a new franchise on,positive
2,doc_3,while ive watched many of the superhero movies that have come down the pike they are often the same so the compensation for sensational plots involves great special effects and nonstop action they are fun and i dont mean to dis them what is missing is a truly psychological drama we dont get into the heads of the characters this film is incredible as we watch a man confront his demons we see him made fun of attacked and beaten when he responds he is seen as crazy he also find that he is diminished in the eye of a counselor and his mother has kept a secret i thought it gave us a foundation for the batman mythos without getting to deeply into it acting atmosphere and a sophisticated plot makes this a really excellent film,positive
3,doc_4,in many aspects it is a mirror for society for viewer for the way of development of society its basic virtues the splendid performance of joaquin phoenix and the beautiful cinematography and sure the ignore of comic book character for feel the film not as portrait but as large cry the sins maybe too much taxi driver and the ambition to explain and show everything the angry the frustrations the refuges the falls of mind and soul are only suggested for be in real sense credible short a form of manifesto or only a sort of mirror for each of its viewers,neutral
4,doc_5,in a crumbling gotham city where the government has simply given up failed clown joaquin phoenix goes from loser to an acclaimed clown vigilantethis movie is about the creation and rise of batman villain the joker it draws on the societal collapse of the 1970s and 1980s with references to bernie goetz robert de niro present to make the audience think of taxi driver and his failed and insane comic in the king of comedy it could have been a reference to lend a veneer of cinematic respectability to this movie comic books arose lazily repurposing shards of popular culture for an audience too young to recognize them for what they were during the depths of the depression it was a time that led people to believe that society was in inevitable collapse large swaths of the audience believed the same it could have been obvious and cheap except for all the trash in the street and phoenixs committed performance as it is with the 1980s standing in for society today society in the 1930s batman is not even present just his father who might be phoenixs father also emphasizing the duality that keeps being imposed on the relationship who it is implied could do something but doesnt well its a thoroughly unlikable and well made movie just because i dont like the message i dont insist on shooting the messenger even though ive heard this message many times so the implication is that its been ignored and will keep being repeated until attention is paidif only it didnt glory in the dirt and destruction,positive
5,doc_6,this is joker a movie and the title is really telling whatwho it is about but first things first the director is todd phillips and he is also one of several writers working on the screenplay for this 2hour movie phillips is still mostly known for his hangover films probably and in general for his collaborations with zach galifianakis so gentlyspeaking the filmmakers career is not exactly filled with projects that were received greatly by critics this one here is no exception either general moviegoers apparently really loved it but critics not so much a bit like bohemian rhapsody not too long ago that one i really adored though this one here not so much still i am a big joaquin phoenix fan and as such it is impossible to give the film a thumbsdown overall he is the movie and i am really glad he plays the title character because otherwise i maybe would not have liked it at all not just because of personal preference but also because phoenix really is that good from beginning to end and he is in almost every scene not too long ago jared leto played the joker batmans nemesis and there was a lot of hype surrounding his turn that quickly vanished because he really did not have too much screen time at all and stayed pale in comparison to margot robbies harley quinn but lets not drift away from this film here now for phoenix all the hype is justified and welldeserved i think he is still up there and a potential contender for the oscar win this year with his nomination pretty much a safe deal and i read that it could be between him and adam driver and i like both for being slightly oddball so i certainly approve of course with stuff like her the master and my personal favorite walk the line under his belt it is arguable if this one here should be the movie for which he gets a golden statuette but i still hope he does if we consider daniel daylewis retired now he is probably the best actor working right now and as he is still under that is quite impressive at least in my opinion but he is just so consistent and constantly adds depth to his characters in a way where you feel nobody else could have done it this well he does so much with his eyes okay you get the message i thought he was an amazing jokersadly i cannot say the same about the film itself really there are good moments here and there no denying at all but i was still not satisfied with the script i must say it felt to me that most of all they were taking the safe route basically and going the way where it would obviously be a crowd pleaser but somehow i must say that the film felt zero daring to me even the interactions with the wayne family that could easily really have been goosebump material felt a bit shoddy and for the sake of it all i did like however that the way things seemed to turn out we thought it would definitely be the joker who kills bruces father in the end because of the personal connection but it was just one of his army eventually and it does not matter who did it joker is not really getting his hands dirty at that point anymore he has others who do so for him also pay attention to how everybody who means something to him early on his mother de niros character most of all are killed by him i must say i did wonder though how they did not try to catch him after he strangles his mother i mean as for the colleague at his apartment it made more sense because the time between that and the show appearance was perhaps too short but still the cops were following him and that was accurate there however clownmania was already going on in full force you could say big enough though for police not to go to the studio and arrest him right away i would say i disagreein general this is a film where you can never really be sure how much of it is real and how much just happens in the protagonists head like his relationship with the neighbor but that is just the obvious one where we know it is fake even if i did not see it coming of course also the relationship between his mother and mr wayne okay that seemed fairly farfetched from the beginning i mean joker cannot be batmans halfbrother can he or the medical condition he has in terms of laughing or the idea about de niros character early on almost acting like a father figure to him in front of the camera which most likely was fake too because there were no references later on that it was not his first time on the show so this is a film that will certainly play with your head continuously because the only moments you can be sure they are real and actually happening are those that include a great deal of violence such as the killing of the three young men on the subway or the talk show host murder or the killing of his mother or maybe is that fake too i mean it is a big step even if she did invent the relationship with bruces dad he really really cares for her and he wont kill the colleague who always treated him well i thought it was a psycho trick that he left the door closed and the guy is too small to reach the knobkey but no he really just forgot it and lets him go eventually he is a psychopath yes but with his very own unpredictable style of course there are aside from that these moments with all the overthetop laughing most notably when he visits the comedy show and laughs each and every time everybody else stays quiet and stays quiet himself when they are laughing at the punch lines now that was kinda hilarious because of how awkward it felt and also very telling because we saw how he totally did not fit in with everybody else the average peopleokay i think this would be pretty much all then i mentioned some of the scenes that stayed most memorable to me maybe most likely you have different scenes that fit the description for you and that is perfectly fine because there are so many to pick from there is hardly one that is really weak and i think the running time was accurate too and i dont say that too often about 2hour movies that they should not have kept it a bit shorter on some occasions so you can see it as a compliment but like i mentioned previously already those scenes that did stand out mostly did so because of phoenix giving it his best and not really because of great writing i think the dialogue writing was still a bit better than the writing of the action and what the characters were doing compared to saying which sometimes made me forgot about the relatively weak ways in which the story was progressing this also applies especially to the idea of everybody getting more and more crazy out there somehow there is a fairly memorable quote from fleck joker in his human form about that that they really could have made a lot with also they included it in the trailer storywise but the way they included the clown army for example felt really out of nowhere and it did not make too much sense to me okay we get it gotham is not at a good place to be right now but with such a movement you just have to come up with a better explanation and elaboration and lead us there more convincingly okay that would be all then i liked and disliked about this film it certainly wont make it into my top10 movies of the year and if it gets in at the oscars for best picture that is too much i think but i wish phoenix all the luck he can have for upcoming awards season because his turn here can really be described as greatness there was always a lot of arguing about whos the best joker nicholson ledger hamill romero there is definitely a new name that can be added to the discussion now all in all the film gets a thumbsup from me,neutral
6,doc_7,in gotham city the clown and aspirant comedian arthur fleck joaquin phoenix is an outcast mentally disturbed man that lives with his deranged mother penny fleck frances conroy when the social service office that attends him is shutdown arthur stops his medication and the abusive society drives him crazier to a criminal lifejoker is a dark and depressive film that discloses a dramatic version of the jokers origin joaquin phoenix has a topnotch performance in the role of a mentally disturbed man disregarded by the society with a nervous twitch his acting makes the viewer recalls and compares with heath ledger in the dark knight the best so far the dark and gruesome cinematography shows a dirty gotham city with the garbage collector strike the music score is also spectacular with hits from the 70s and 80s my vote is seventitle brazil coringa joker,positive
7,doc_8,what kind of joker is this the kind that cries on the insidethis is a gotham horror director and cowriter todd phillips has gone through martin scorseses filmography ranging from taxi driver the king of comedy bringing out the dead to shutter island robert de niro appears as a chat show host just to drive home the scorsese connectionsthe joker delivers a bravura performance from joaquin phoenix as arthur fleck he is one of lifes losers unable to hold down a job as a clown and on seven different kinds of medications but he is still a manic depressiveset in the early 1980s gotham city is in the sewers and there are sightings of giant rats social services funding cuts means that fleck is on his own the social worker who does not even listen to him is not going to be there for him any morelike travis bickle fleck snaps and is then reborn as the joker the joker is not political but this nihilistic slow burn drama takes aim at wealthy democrat and republican politicians alikethomas wayne might not be painted as a trump but he is a rich tycoon who thinks the have nots are clowns watch out for the scene when the moguls dressed in tuxedos are watching a screening of chaplins modern times a movie that commented on the desperate conditions many people faced during the 1930s depressionjoker is a bold comic strip adaptation but it is a low wattage film with no plot it is a tribute act because of the scorsese movies that inspired it,neutral
8,doc_9,low expectations and subverted expectations play a big part in this films success although not the biggest part the levels of expectation on a dc universe film is now pretty low to the point that someone with film ocd like myself has not bothered to even dip a toe in recent years likewise what one expects from a superhero genre origin story is not something like this the sense of pleasant surprise certainly helped the success of the film but it is not the main thingthe main reason is the central performance of phoenix he is totally committed to selling his character throughout and even in the weakest moments of narrative you believe his character in terms of its roots development and actions it is not a film that would normally be associated with awards but it would be a significant failure were he not to be recognized for how much he delivered and how much he made the film a secondary reason the film works is its cinematic heritage in the films of scorsese in so much as it falls between taxi driver and king of comedy this is not accidental and the casting deserve a lot of credit of getting actors of the quality of phoenix and de niro although the latter does more as a reference than an actor with these elements working well the film produces an engaging origin story that feels responsible but yet fitting the character i could have done with it stopping just a few seconds earlier than it did because im not sure that the maybe it was all imagined bit at the end was a good ideaotherwise it is enjoyably dark and deliberate and is driven by phoenix even if the film is not as brilliant as some would have you believe,positive
9,doc_10,this film is strictly a character development of arthur fleck joaquin phoenix and how he transformed into the joker they could have done this in a number of different ways in this film he is a deranged vigilante in the battle of haves vs have nots we do see bruce wayne as a child with arthur many years his senior it takes about minutes until the big action happens i was a bit disappointed when they made joker braindamaged rather than a criminal mastermind the production takes place during the time span of about a month or so his childhood is discussed but not shownguide fword no sex or nudity no batman no harley quinn,positive
